term,target_count,reference_count,target_per10k,reference_per10k,log_odds,z,g2
ethnically diverse,6,7,1.087981431783564,0.4741519453776959,0.8204997154077436,1.4801636637774485,2.1239718237269765
ahrq cms,21,0,3.807935011242475,0.0,7.190136331349216,1.472311549401397,54.68824902303214
agencies hrsa,23,0,4.170595488503663,0.0,7.3201206697590635,1.469998528975102,59.896653691892354
neurodevelopmental regression,24,0,4.351925727134256,0.0,7.40337980063473,1.4567823283769674,62.50085602632245
surveillance years,5,0,0.9066511931529703,0.0,5.095387434366215,1.4510371917694882,13.021011672150511
epilepsy sleep,7,9,1.2693116704141583,0.6096239297713233,0.7239141537666605,1.4414031425069087,2.012542928552257
priority federal,22,0,3.989265249873069,0.0,7.316479442354491,1.4395775105983784,57.29245135746225
autistic individuals,79,173,14.32508885181693,11.71832665004877,0.1942534719365785,1.4353406248227742,2.131415714370572
cdc ahrq,23,0,4.170595488503663,0.0,7.403361965172309,1.4261063559262799,59.896653691892354
ahrq nih,23,0,4.170595488503663,0.0,7.403361965172309,1.4261063559262799,59.896653691892354
translational readiness,23,0,4.170595488503663,0.0,7.403361965172309,1.4261063559262799,59.896653691892354
occupational therapy,9,13,1.6319721476753464,0.8805678985585782,0.6092247821769217,1.4117614354441328,1.9230516220510028
ahrq hrsa,17,0,3.082614056720099,0.0,7.0183515366391145,1.4089643180486053,44.271439685311734
pediatrics safety,20,0,3.626604772611881,0.0,7.263788538781018,1.399051702126036,52.084046688602044
clinical guidance,22,0,3.989265249873069,0.0,7.4033441300283735,1.394756171109424,57.29245135746225
federal task,22,0,3.989265249873069,0.0,7.4033441300283735,1.394756171109424,57.29245135746225
executive accountability,22,0,3.989265249873069,0.0,7.4033441300283735,1.394756171109424,57.29245135746225
readiness assessment,20,0,3.626604772611881,0.0,7.308159634370243,1.3767131745353207,52.084046688602044
ahrq cdc,19,0,3.4452745339812867,0.0,7.256941906242353,1.3670011679908585,49.479844354171945
clinicians education,21,0,3.807935011242475,0.0,7.4033262952029135,1.3626852415539599,54.68824902303214
measures constitute,21,0,3.807935011242475,0.0,7.4033262952029135,1.3626852415539599,54.68824902303214
constitute executive,21,0,3.807935011242475,0.0,7.4033262952029135,1.3626852415539599,54.68824902303214
indicators measures,21,0,3.807935011242475,0.0,7.4033262952029135,1.3626852415539599,54.68824902303214
accountability set,21,0,3.807935011242475,0.0,7.4033262952029135,1.3626852415539599,54.68824902303214
executive performance,21,0,3.807935011242475,0.0,7.4033262952029135,1.3626852415539599,54.68824902303214
language remains,21,0,3.807935011242475,0.0,7.4033262952029135,1.3626852415539599,54.68824902303214
federal workplans,20,0,3.626604772611881,0.0,7.403308460695916,1.3298414230617424,52.084046688602044
fda ahrq,20,0,3.626604772611881,0.0,7.403308460695916,1.3298414230617424,52.084046688602044
partners months,20,0,3.626604772611881,0.0,7.403308460695916,1.3298414230617424,52.084046688602044
symptoms pain,20,0,3.626604772611881,0.0,7.403308460695916,1.3298414230617424,52.084046688602044
cms ahrq,20,0,3.626604772611881,0.0,7.403308460695916,1.3298414230617424,52.084046688602044
