term,target_count,reference_count,target_per10k,reference_per10k,log_odds,z,g2
qualitative,0,7,0.0,0.4741262530479545,-4.314390517010608,-0.8113893904087117,4.4434481203418645
polygenic,2,10,0.3626539012493427,0.677323218639935,-0.6256892994940344,-0.8122674795536783,0.7428236820522685
appropriately,5,20,0.9066347531233567,1.35464643727987,-0.40463646918054685,-0.8130388148000558,0.6967190456696577
nda,0,12,0.0,0.812787862367922,-5.233365383391613,-0.8139211737062533,7.617339634871767
earli,0,10,0.0,0.677323218639935,-4.926592569782281,-0.8153986745329933,6.347783029059806
glutamate,0,10,0.0,0.677323218639935,-4.926592569782281,-0.8153986745329933,6.347783029059806
mitigation,0,10,0.0,0.677323218639935,-4.926592569782281,-0.8153986745329933,6.347783029059806
announced,0,6,0.0,0.406393931183961,-3.995090968552544,-0.8160215803003257,3.8086698174358835
poverty,0,6,0.0,0.406393931183961,-3.995090968552544,-0.8160215803003257,3.8086698174358835
thomas,0,6,0.0,0.406393931183961,-3.995090968552544,-0.8160215803003257,3.8086698174358835
delivery,23,75,4.17051986436744,5.079924139799512,-0.19263587387825076,-0.8160343558916215,0.7085590182173194
amenable,0,11,0.0,0.7450555405039285,-5.082138521800907,-0.8161892105689024,6.982561331965787
mhs,0,5,0.0,0.3386616093199675,-3.6084338134280713,-0.8163481137333729,3.173891514529903
interchangeably,0,7,0.0,0.4741262530479545,-4.270168371527792,-0.8210282432280709,4.4434481203418645
post-mortem,0,7,0.0,0.4741262530479545,-4.270168371527792,-0.8210282432280709,4.4434481203418645
copied,0,5,0.0,0.3386616093199675,-3.5779819367911774,-0.8218806567827929,3.173891514529903
neurodiversity,0,5,0.0,0.3386616093199675,-3.5779819367911774,-0.8218806567827929,3.173891514529903
reproduced,0,5,0.0,0.3386616093199675,-3.5779819367911774,-0.8218806567827929,3.173891514529903
availability,16,54,2.9012312099947417,3.657545380655649,-0.23295435881847837,-0.8233269479207175,0.6898879368975228
mode,0,9,0.0,0.6095908967759415,-4.710661886755494,-0.8239762711735925,5.713004726153825
unnecessarily,0,9,0.0,0.6095908967759415,-4.710661886755494,-0.8239762711735925,5.713004726153825
opposed,0,9,0.0,0.6095908967759415,-4.710661886755494,-0.8239762711735925,5.713004726153825
specialized,4,17,0.7253078024986854,1.1514494716878896,-0.4527868756410971,-0.824254593814161,0.7579166834559223
considerably,0,8,0.0,0.541858574911948,-4.493615802004465,-0.8260061908581964,5.078226423247845
formation,0,8,0.0,0.541858574911948,-4.493615802004465,-0.8260061908581964,5.078226423247845
immunization,0,8,0.0,0.541858574911948,-4.493615802004465,-0.8260061908581964,5.078226423247845
awarded,1,7,0.18132695062467136,0.4741262530479545,-0.8168984706528324,-0.8290863101726188,1.0193803731307638
inhibitors,0,10,0.0,0.677323218639935,-4.869595261778452,-0.8292647802698053,6.347783029059806
leveraged,0,10,0.0,0.677323218639935,-4.869595261778452,-0.8292647802698053,6.347783029059806
useful,15,51,2.7199042593700704,3.4543484150636687,-0.2426300931684926,-0.8298413875716305,0.6908105650426881
spoken,4,17,0.7253078024986854,1.1514494716878896,-0.4569834344739352,-0.8299380809359045,0.7579166834559223
capitalize,0,12,0.0,0.812787862367922,-5.1689612133626,-0.8302136464659848,7.617339634871767
performing,0,7,0.0,0.4741262530479545,-4.227838321476886,-0.8302786169381039,4.4434481203418645
recreational,0,6,0.0,0.406393931183961,-3.921517670490134,-0.8310115174344248,3.8086698174358835
virus,0,6,0.0,0.406393931183961,-3.921517670490134,-0.8310115174344248,3.8086698174358835
weiss,0,11,0.0,0.7450555405039285,-5.02166041723345,-0.8312362895904015,6.982561331965787
m-chat-r,0,9,0.0,0.6095908967759415,-4.659547480733519,-0.8361344776341686,5.713004726153825
navigators,0,8,0.0,0.541858574911948,-4.447296869371252,-0.8366462822586976,5.078226423247845
pre,0,8,0.0,0.541858574911948,-4.447296869371252,-0.8366462822586976,5.078226423247845
specificity,4,17,0.7253078024986854,1.1514494716878896,-0.4630286983221019,-0.8380736823112639,0.7579166834559223
laura,0,6,0.0,0.406393931183961,-3.886693580544721,-0.8381003039833778,3.8086698174358835
pool,0,6,0.0,0.406393931183961,-3.886693580544721,-0.8381003039833778,3.8086698174358835
breakthroughs,0,6,0.0,0.406393931183961,-3.886693580544721,-0.8381003039833778,3.8086698174358835
responding,0,10,0.0,0.677323218639935,-4.815689120387615,-0.8424896447862996,6.347783029059806
florida,0,6,0.0,0.406393931183961,-3.8530591873326046,-0.8449400472046349,3.8086698174358835
harvard,0,11,0.0,0.7450555405039285,-4.964648499173077,-0.8455626660312822,6.982561331965787
desire,0,12,0.0,0.812787862367922,-5.1084709246021145,-0.8456934068076755,7.617339634871767
inequities,0,8,0.0,0.541858574911948,-4.403046149368654,-0.846853551739503,5.078226423247845
doubling,0,8,0.0,0.541858574911948,-4.403046149368654,-0.846853551739503,5.078226423247845
daniels,0,5,0.0,0.3386616093199675,-3.438500716397069,-0.8469064833924422,3.173891514529903
socialization,0,5,0.0,0.3386616093199675,-3.438500716397069,-0.8469064833924422,3.173891514529903
ceo,0,7,0.0,0.4741262530479545,-4.1482545844755485,-0.8477218992854942,4.4434481203418645
birnbaum,0,7,0.0,0.4741262530479545,-4.1482545844755485,-0.8477218992854942,4.4434481203418645
genome-wide,0,7,0.0,0.4741262530479545,-4.1482545844755485,-0.8477218992854942,4.4434481203418645
fellowship,0,7,0.0,0.4741262530479545,-4.1482545844755485,-0.8477218992854942,4.4434481203418645
perception,0,7,0.0,0.4741262530479545,-4.1482545844755485,-0.8477218992854942,4.4434481203418645
at-risk,0,7,0.0,0.4741262530479545,-4.1482545844755485,-0.8477218992854942,4.4434481203418645
